sub1_low,sub1_med,sub1_high,sub2_low,sub2_med,sub2_high,sub3_low,sub3_med,sub3_high,night_low,night_med,night_high,peak_low,peak_med,peak_high,total_low,total_med,total_high,is_weekend,is_workday
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0
0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1
1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1
0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0
0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0
1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
